"﻿""Nombre Cóctel""",Puntuación Diffords,Cristalería (Glass),Ingredientes Originales,Adorno (Garnish),Método (How to make),Coste Estimado,Calorías,Grado Alcohólico (ABV),Historia / Curiosidades,Enlace Original
Sweet Martini,Difford’s Guide Discerning Drinkers (40 ratings),Serve in a Martini glass,"- 75 ml Hayman's London Dry Gin
- 15 ml Strucchi Rosso Vermouth",Garnish with skewered cherry.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,188 kcal,No especificado,Sin registro histórico,https://www.diffordsguide.com/cocktails/recipe/2887/sweet-martini
Vermouth & Soda,Difford’s Guide Discerning Drinkers (12 ratings),Photographed in an Urban Bar Fluet Old Fashioned 34cl,"- 60 ml Strucchi Rosso Vermouth chilled
- 60 ml Thomas Henry Soda Water chilled",Sin adorno específico,"Select and pre-chill an OLD-FASHIONED GLASS.
Prepare garnish of half orange slice wheel skewered with green olive.
POUR all ingredients into ice-filled glass.
Garnish with orange slice skewered with olive.",No especificado,92 kcal,No especificado,"Any style of vermouth: dry, bianco or rosso can be served with soda water, but in Spain and particularly Catalonia, where the combination of vermouth and soda is one of the most popular drinks, the vermouth is almost always a rojo (the Spanish term for red/rosso or 'sweet' vermouth.",https://www.diffordsguide.com/cocktails/recipe/35966/vermouth-and-soda
Sweet Manhattan (batched recipe),Difford’s Guide Discerning Drinkers (9 ratings),Serve in a Coupe glass,"- 300 ml Bourbon whiskey
- 300 ml Straight rye whiskey (100 proof /50% alc./vol.)
- 300 ml Strucchi Rosso Vermouth
- 25 ml Luxardo Maraschino liqueur
- 25 ml Heering Cherry Liqueur
- 10 ml Angostura Aromatic Bitters
- 5 ml Peychaud's or other Creole-style bitters",Express an orange zest twist over cocktail and discard. Garnish each cocktail with a skewered maraschino cherry.,"COMBINE all ingredients and stir (without ice).
POUR into a litre bottle and leave to chill in a refrigerator.
To serve, STIR 2 shots / 2oz / 60ml of the bottled mixture with ice and strain into chilled glass.",No especificado,2023 kcal,No especificado,"Created in 2016 by yours truly at the Cabinet Room, London, England.
See: Manhattan cocktail history",https://www.diffordsguide.com/cocktails/recipe/3943/sweet-manhattan-batched-recipe
Sweet Virginia,Difford’s Guide Discerning Drinkers (7 ratings),Photographed in an Urban Bar Alto Coupe 18cl,"- 45 ml Bourbon whiskey
- 20 ml Heering Cherry Liqueur
- 15 ml Ferrand Dry Curaçao
- 15 ml Strucchi Rosso Vermouth
- 15 ml Pineapple juice
- 1 dash Boker's style bitters
- 1 dash Peychaud's or other Creole-style bitters",Garnish with pineapple wedge skewered with maraschino cherry.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,262 kcal,No especificado,"Eponymously named after the Rolling Stone's song, this is a riff on the classic Eastern Sin by yours truly in October 2024.",https://www.diffordsguide.com/cocktails/recipe/31242/sweet-virginia
Manhattan (Sweet),Difford’s Guide Discerning Drinkers (528 ratings),Photographed in an UB Retro Coupe Gold 7.75oz,"- 45 ml Bourbon whiskey
- 15 ml Straight rye whiskey (100 proof /50% alc./vol.)
- 30 ml Strucchi Rosso Vermouth
- 1 dash Angostura Aromatic Bitters","EXPRESS orange zest twist over cocktail and discard.
Garnish with skewered cherry.","STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,191 kcal,No especificado,See Manhattan cocktail history,https://www.diffordsguide.com/cocktails/recipe/1247/manhattan-sweet
High Ryeser,Difford’s Guide Discerning Drinkers (222 ratings),Photographed in an UB Retro Coupe 1910,"- 45 ml Straight rye whiskey (100 proof /50% alc./vol.)
- 45 ml Strucchi Rosso Vermouth
- 1 dash Angostura Aromatic Bitters",Express orange zest twist over cocktail and discard. Garnish with maraschino cherry.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,169 kcal,No especificado,See Manhattan cocktail history,https://www.diffordsguide.com/cocktails/recipe/6281/high-ryeser
Manhattan (Sweet with Bitter Chocolate),Difford’s Guide Discerning Drinkers (79 ratings),Serve in a Coupe glass,"- 60 ml Bourbon whiskey
- 22.5 ml Strucchi Rosso Vermouth
- 5 ml De Kuyper Brown Crème de Cacao
- 5 ml Luxardo Maraschino liqueur
- 6 drop Bob's Chocolate bitters",Garnish with chocolate balanced on rim.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,211 kcal,No especificado,"Created by yours truly in April 2017 at the Cabinet Room in London, England.
See: Manhattan cocktail history",https://www.diffordsguide.com/cocktails/recipe/4111/manhattan-sweet-with-bitter-chocolate
Negroni Cocktail,Difford’s Guide Discerning Drinkers (1519 ratings),Photographed in an Urban Bar Fluet Old Fashioned 34cl,"- 30 ml Hayman's London Dry Gin
- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 30 ml Strucchi Rosso Vermouth",Garnish with orange wedge or slice and/or orange zest twist.,"POUR all ingredients into ice-filled glass.
STIR.",No especificado,183 kcal,No especificado,Negroni cocktail history and recipe variations,https://www.diffordsguide.com/cocktails/recipe/1392/negroni-cocktail
Fridge Negroni,Difford’s Guide Discerning Drinkers (15 ratings),Serve in a Bottle,"- 30 ml Hayman's London Dry Gin
- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 30 ml Strucchi Rosso Vermouth
- 10 ml Chilled water",Garnish each individual serve with an orange slice wheel.,"Use the serve number selector (below the ingredients) to set the number of serves you want in your pre-batch. (x7 serves is recommended as this will fill a standard bottle – see below for x7 volumes and weights).
POUR all ingredients into a clean, resealable 70cl or 75cl bottle.
Seal the bottle and turn/shake to ensure the integration of ingredients.
Place in a refrigerator to chill for at least 4 hours prior to serving.
For each Individual serve: POUR 100ml into an ice-filled old-fashioned glass.",No especificado,183 kcal,No especificado,Formula and measures by yours truly.,https://www.diffordsguide.com/cocktails/recipe/30008/fridge-negroni
Million Dollar Cocktail,Difford’s Guide Discerning Drinkers (56 ratings),Serve in a Coupe glass,"- 45 ml Hayman's London Dry Gin
- 22.5 ml Strucchi Rosso Vermouth chilled
- 15 ml Pineapple juice
- 7.5 ml Grenadine/pomegranate syrup
- 15 ml Egg white (pasteurised) or Vegg White vegan egg white alternative
- 2 drop Saline solution (20g sea salt to 80g water) or merest pinch of s","EXPRESS lemon zest twist over the cocktail and discard.
Garnish with pineapple wedge on rim.","SHAKE all ingredients with ice and strain back into shaker.
DRY SHAKE (without ice).
FINE STRAIN into chilled glass.",No especificado,173 kcal,No especificado,"Some say the Million Dollar Cocktail was created as early as 1894 by Louis Eppinger (the bartender credited for creating the Bamboo Cocktail) at The Grand Hotel, Yokohama, Japan. Others maintain it was created around 1910 by Ngiam Tong Boon at The Long Bar, Raffles Hotel, Singapore. While, in his 1939 book The Gentleman's Companion volume II, Charles H. Baker, Jr. credits his first recipe for a Million Dollar Cocktail to Shideaki Saito, ""Saito, No. 1 Bar Boy at The Imperial Hotel, Tokyo, Japan, 1926, 1931 & 1932"", as his second recipe to ""Nomura the No. 1 Bar Boy at Tor Hotel, Kobe, dating from 1926, to 1931 & 1932."" David Wondrich, the noted cocktail historian, discounts Singapore, Yokohama and Tokyo in favour of the Million Dollar Cocktail originating at the Shanghai Club in China. Founded as The Correspondent's Club in 1861, this was the principal men's club for British residents of Shanghai. Wondrich says, [courtesy of spiritsandcocktails.community] ""The earliest and sanest recipe I've found for the drink dates back to 1922, when J.A. Wolfson, a Manila lawyer, included it in a little cocktails section he contributed to Elsie Gaches's Good Cooking and Health in the Tropics, published in Manila that year."" The Million Dollar Cocktail notably also features in Jean Lupoiu's 1928 book 370 Recettes de Cocktails, and Harry Craddock's 1930 The Savoy Cocktail Book, while the 1933 Fourth Edition of O'Dell's Book of Cocktails and Fancy Drinks in English and Japanese has two recipes.",https://www.diffordsguide.com/cocktails/recipe/1319/million-dollar-cocktail
